imie,wystapienia_pierwsze,wystapienia_drugie,pochodzenie,opis_html
Janina,198471,156102,,"<b>Janina</b> – żeńska forma <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imienia</a> <a href=""https://pl.wikipedia.org/wiki/Jan"" target=""_blank"" rel=""noopener noreferrer"">Jan</a> zapożyczona z języka czeskiego. W średniowieczu używano w Polsce także formy Janna, Jana."
Jolanta,233614,116905,,"<b>Jolanta</b> (<a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">gr.</a> <i>ion</i> + <i>anthos</i> – fiołek + kwiat) – imię żeńskie, być może pochodzenia <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">greckiego</a>. W Polsce to imię używane jest od XIII w., początkowo w formie <b>Jolenta</b>."
Alicja,254745,87113,greckie,"Może pochodzić od włoskiej, żeńskiej formy imienia <a href=""https://pl.wikipedia.org/wiki/Aleksy"" target=""_blank"" rel=""noopener noreferrer"">Aleksy</a> – Alessis, imię to przyjmowało w językach: <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_niemiecki"" target=""_blank"" rel=""noopener noreferrer"">niemieckim</a> i <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_angielski"" target=""_blank"" rel=""noopener noreferrer"">angielskim</a> formę Alexia."
Grażyna,223100,94852,litewskie,"<b>Grażyna</b> (<a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_litewski"" target=""_blank"" rel=""noopener noreferrer"">lit.</a>&#160;<em>Gražina</em> od <i>graži</i> – piękna) – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/Litwa"" target=""_blank"" rel=""noopener noreferrer"">litewskiego</a>. Wymyślone przez <a href=""https://pl.wikipedia.org/wiki/Adam_Mickiewicz"" target=""_blank"" rel=""noopener noreferrer"">Adama Mickiewicza</a> dla <a href=""https://pl.wikipedia.org/wiki/Gra%C5%BCyna_(poemat)"" target=""_blank"" rel=""noopener noreferrer"">tytułowej bohaterki jego poematu</a> z 1823."
Iwona,230870,83664,,"<b>Iwona</b> – imię żeńskie o pochodzeniu germańskim bądź celtyckim, odpowiednik męskiego <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imienia</a> <a href=""https://pl.wikipedia.org/wiki/Iwo"" target=""_blank"" rel=""noopener noreferrer"">Iwo</a>."
Irena,196353,116390,,
Halina,226656,85378,,"<b>Halina</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie pochodzące od <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">gr.</a>&#160;γαλήνη <i>galene</i> – „spokój”, „błogostan”. Od Haliny powstało imię <b>Halka</b>, spopularyzowane dzięki operze <a href=""https://pl.wikipedia.org/wiki/Stanis%C5%82aw_Moniuszko"" target=""_blank"" rel=""noopener noreferrer"">Stanisława Moniuszki</a> – <a href=""https://pl.wikipedia.org/wiki/Halka_(opera)"" target=""_blank"" rel=""noopener noreferrer"">Halka</a>, którą niekiedy nadawano jako samodzielne imię."
Helena,155762,153754,,Stany Zjednoczone:
Wiktoria,209093,99403,,
Paulina,224208,68958,,
