imie,wystapienia_pierwsze,wystapienia_drugie,pochodzenie,opis_html
Ilda,5,0,,
Yume,3,2,,
Nuri̇ye,5,0,,
Batoul,2,3,,
Bayarjargal,5,0,,
Lucjan,5,0,,"<b>Lucjan</b> – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> męskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/%C5%81acina"" target=""_blank"" rel=""noopener noreferrer"">łacińskiego</a>. Imię to jest polską wersją łacińskiego <i>Lucianus</i>, co oznacza „należący do <a href=""https://pl.wikipedia.org/wiki/Lucjusz"" target=""_blank"" rel=""noopener noreferrer"">Lucjusza</a>, wywodzący się od Lucjusza”. Jego oboczną formą jest <a href=""https://pl.wikipedia.org/wiki/%C5%81ucjan"" target=""_blank"" rel=""noopener noreferrer"">Łucjan</a>. Patronem imienia jest m.in. <a href=""https://pl.wikipedia.org/wiki/Lucjan_i_Marcjan_(m%C4%99czennicy)"" target=""_blank"" rel=""noopener noreferrer"">św. Lucjan, męczennik z Nikomedii</a> (zm. ok. 250). <i>Bibliotheca Sanctorum</i> zawiera informacje o trzynastu świętych o tym imieniu."
Eleonóra,3,2,,
Malvika,5,0,,
Thi Le Hang,5,0,,
Remelyn,5,0,,
Teressa,5,0,,
Zakiya,5,0,,
Hai Anh,5,0,,
Falguni,5,0,,
Ha An,5,0,,
Merri,5,0,,"<b>Merri</b> – miejscowość i gmina we <a href=""https://pl.wikipedia.org/wiki/Francja"" target=""_blank"" rel=""noopener noreferrer"">Francji</a>, w <a href=""https://pl.wikipedia.org/wiki/Region_(Francja)"" target=""_blank"" rel=""noopener noreferrer"">regionie</a> <a href=""https://pl.wikipedia.org/wiki/Normandia_(region_administracyjny)"" target=""_blank"" rel=""noopener noreferrer"">Normandia</a>, w departamencie <a href=""https://pl.wikipedia.org/wiki/Orne_(departament)"" target=""_blank"" rel=""noopener noreferrer"">Orne</a>."
Yumeng,5,0,,
Rihana,5,0,,
Behi̇ye,5,0,,
Termine,5,0,,
Suqin,5,0,,
Inaja,3,2,,
Aydzhan,5,0,,
Shiqi,5,0,,
Jiaojiao,5,0,,
Lauriane,5,0,,
Tilla,3,2,,"<b>Tilla</b> (średio/nowoasyryjskie <b>Tille</b>, też nowoasyryjskie <b>Til-uli</b>?) – starożytne miasto w północnej <a href=""https://pl.wikipedia.org/wiki/Mezopotamia"" target=""_blank"" rel=""noopener noreferrer"">Mezopotamii</a>, wzmiankowane po raz pierwszy w dokumentach z archiwum w <a href=""https://pl.wikipedia.org/wiki/Mari"" target=""_blank"" rel=""noopener noreferrer"">Mari</a> pochodzących z czasów panowania króla <a href=""https://pl.wikipedia.org/wiki/Zimri-Lim"" target=""_blank"" rel=""noopener noreferrer"">Zimri-Lima</a> (1774-1762 p.n.e.). Wspominają one o ataku jaki na miasto Tilla, rządzone wówczas przez króla Samsi-Eraha, przeprowadzić miały oddziały Himdiji z Andarig i <a href=""https://pl.wikipedia.org/wiki/Aqba-hammu"" target=""_blank"" rel=""noopener noreferrer"">Aqba-hammu</a> z Karany. W innych z kolei zachowała się informacja, iż przez pewien czas miasto to okupowały oddziały z <a href=""https://pl.wikipedia.org/wiki/Esznunna"" target=""_blank"" rel=""noopener noreferrer"">Esznunny</a>. Tilla mogła też dołączyć do ataków na położone nad <a href=""https://pl.wikipedia.org/wiki/Chabur"" target=""_blank"" rel=""noopener noreferrer"">Chaburem</a> królestwo Ilan-sura, gdyż znany jest list w którym władca Ilan-sury, Haja-Sumu, zwraca się do swego suwerena Zimri-Lima z prośbą o pomoc w działaniach przeciw temu miastu."
Bohda,2,3,,
Ziniat,5,0,,
Thi My Linh,5,0,,
Joya,2,3,,"<b>Joya</b> – miasto w północnych <a href=""https://pl.wikipedia.org/wiki/Indie"" target=""_blank"" rel=""noopener noreferrer"">Indiach</a> w stanie <a href=""https://pl.wikipedia.org/wiki/Uttar_Pradesh"" target=""_blank"" rel=""noopener noreferrer"">Uttar Pradesh</a>, na <a href=""https://pl.wikipedia.org/wiki/Nizina_Hindusta%C5%84ska"" target=""_blank"" rel=""noopener noreferrer"">Nizinie Hindustańskiej</a>."
Vismaya,5,0,,
Manush,5,0,,
Arsena,5,0,,
Sausan,3,2,,
Marie Claire,3,2,,
Noëmi,3,2,,
Jelyzaweta,5,0,,
Rhodora,5,0,,
Zulpia,5,0,,
Idia,2,3,,
Peli̇nsu,2,3,,
Jabeen,0,5,,
Louisiana,3,2,,
Yelyzaweta,5,0,,
Sawanna,5,0,,"<b>Sawanna</b> – <a href=""https://pl.wikipedia.org/wiki/Formacje_trawiaste"" target=""_blank"" rel=""noopener noreferrer"">formacja trawiasta</a> <a href=""https://pl.wikipedia.org/wiki/Strefa_mi%C4%99dzyzwrotnikowa"" target=""_blank"" rel=""noopener noreferrer"">strefy międzyzwrotnikowej</a> o <a href=""https://pl.wikipedia.org/wiki/Klimat"" target=""_blank"" rel=""noopener noreferrer"">klimacie</a> gorącym, z wyraźnie zaznaczonymi 3 porami roku, tj. <a href=""https://pl.wikipedia.org/wiki/Pora_deszczowa"" target=""_blank"" rel=""noopener noreferrer"">deszczową</a> (ze średnią temperaturą 18–24&#160;°C) oraz dwiema <a href=""https://pl.wikipedia.org/wiki/Pora_sucha"" target=""_blank"" rel=""noopener noreferrer"">porami suchymi</a>: chłodną (średnio 14–20&#160;°C) i gorącą (26–30&#160;°C, niekiedy nawet do 45&#160;°C). Sawanny bywają wykorzystywane jako naturalne <a href=""https://pl.wikipedia.org/wiki/Pastwisko"" target=""_blank"" rel=""noopener noreferrer"">pastwiska</a>. Fauna zamieszkująca tę formację to głównie <a href=""https://pl.wikipedia.org/wiki/Fitofag"" target=""_blank"" rel=""noopener noreferrer"">roślinożercy</a> żyjący w bardzo licznych stadach."
Llanes,0,5,,"<b>Llanes</b> – miasto w północnej <a href=""https://pl.wikipedia.org/wiki/Hiszpania"" target=""_blank"" rel=""noopener noreferrer"">Hiszpanii</a>, w regionie <a href=""https://pl.wikipedia.org/wiki/Asturia"" target=""_blank"" rel=""noopener noreferrer"">Asturia</a>, nad <a href=""https://pl.wikipedia.org/wiki/Zatoka_Biskajska"" target=""_blank"" rel=""noopener noreferrer"">Zatoką Biskajską</a> liczące około 13 tys. mieszkańców."
Aleeza,3,2,,
Hui-Ju,5,0,,
Lebogang,2,3,,
Soojin,5,0,,
Trudy,3,2,,"<b>Trudy</b> (<a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_bia%C5%82oruski"" target=""_blank"" rel=""noopener noreferrer"">biał.</a>&#160;Труды; <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_rosyjski"" target=""_blank"" rel=""noopener noreferrer"">ros.</a>&#160;Труды) – wieś na <a href=""https://pl.wikipedia.org/wiki/Bia%C5%82oru%C5%9B"" target=""_blank"" rel=""noopener noreferrer"">Białorusi</a>, w <a href=""https://pl.wikipedia.org/wiki/Obw%C3%B3d_witebski"" target=""_blank"" rel=""noopener noreferrer"">obwodzie witebskim</a>, w <a href=""https://pl.wikipedia.org/wiki/Rejon_miorski"" target=""_blank"" rel=""noopener noreferrer"">rejonie miorskim</a>, w sielsowiecie Uźmiony."
Lauryn,5,0,,
Ērika,5,0,,
Sagar,0,5,,"<b>Saugor</b> (inna nazwa: <b>Sagar</b>) – <a href=""https://pl.wikipedia.org/wiki/Miasto"" target=""_blank"" rel=""noopener noreferrer"">miasto</a> w środkowych <a href=""https://pl.wikipedia.org/wiki/Indie"" target=""_blank"" rel=""noopener noreferrer"">Indiach</a>, w górach Windhja, w stanie <a href=""https://pl.wikipedia.org/wiki/Madhya_Pradesh"" target=""_blank"" rel=""noopener noreferrer"">Madhya Pradesh</a>."
Bozhena-Mariia,5,0,,
Narinder,5,0,,
Żivile,5,0,,
Zoila,5,0,,
Areeba,5,0,,
Atalya,5,0,,
Thi Lua,5,0,,
Yu-Ling,5,0,,
Emerson,5,0,,"Miejscowości w <a href=""https://pl.wikipedia.org/wiki/Stany_Zjednoczone"" target=""_blank"" rel=""noopener noreferrer"">USA</a>:"
Diah,2,3,,
Ikrame,5,0,,
Dobroslawa,2,3,,
Aziz,0,5,,
Padmapriya,5,0,,
Gianella,3,2,,
Cristin,3,2,,
Inari,5,0,,
Ntokozo,5,0,,
Auriane,5,0,,
Dragomira,3,2,,"<b>Drogomira</b>, <b>Drogmira</b>, <b>Dragomira</b>, <b>Drahomira</b>, <b>Drohomira</b>, <b>Dargomiera</b> – słowiańskie <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> żeńskie, złożone z członów <i>Drogo-</i> (""drogi"") i <i>-mir</i> (""pokój, spokój, dobro""). Mogło ono oznaczać ""ta, której drogi jest pokój"". Odpowiednik męskiego imienia <a href=""https://pl.wikipedia.org/wiki/Drogomir"" target=""_blank"" rel=""noopener noreferrer"">Drogomir</a> i podobnych."
Suzhen,5,0,,
Sharleen,3,2,,
Milona,3,2,,
Phuong Uyen,5,0,,
Xuwei,5,0,,
Hamide,5,0,,
Pakize,5,0,,
Shiyi,5,0,,
Zannatul,5,0,,
Venezuela,2,3,,
Livnat,5,0,,
Cipora,5,0,,
Constantia,3,2,,"Miejscowości w <a href=""https://pl.wikipedia.org/wiki/Stany_Zjednoczone"" target=""_blank"" rel=""noopener noreferrer"">USA</a>:"
Tham,5,0,,
Khánh Ngọc,3,2,,
Kamel,0,5,,
Frauke,5,0,,
Tigist,5,0,,
California,3,2,,
Polla,5,0,,"<b>Polla</b> – miejscowość i gmina we <a href=""https://pl.wikipedia.org/wiki/W%C5%82ochy"" target=""_blank"" rel=""noopener noreferrer"">Włoszech</a>, w regionie <a href=""https://pl.wikipedia.org/wiki/Kampania_(region)"" target=""_blank"" rel=""noopener noreferrer"">Kampania</a>, w prowincji <a href=""https://pl.wikipedia.org/wiki/Prowincja_Salerno"" target=""_blank"" rel=""noopener noreferrer"">Salerno</a>."
Kamilah,5,0,,
Krzysztofora,3,2,,
Jamile,3,2,,
Yijing,5,0,,"<b>Yijing</b>, <i>Księga przemian</i> – jeden z najstarszych chińskich tekstów klasycznych, reprezentujących rdzennie chińską <a href=""https://pl.wikipedia.org/wiki/Kosmologia"" target=""_blank"" rel=""noopener noreferrer"">kosmologię</a> i <a href=""https://pl.wikipedia.org/wiki/Filozofia"" target=""_blank"" rel=""noopener noreferrer"">filozofię</a>. Jest księgą kanoniczną <a href=""https://pl.wikipedia.org/wiki/Taoizm"" target=""_blank"" rel=""noopener noreferrer"">taoizmu</a> i <a href=""https://pl.wikipedia.org/wiki/Konfucjanizm"" target=""_blank"" rel=""noopener noreferrer"">konfucjanizmu</a>."
Yeabsira,5,0,,
Lananh,0,5,,
Aura Cristina,5,0,,
Marjeta,5,0,,
Jerlyn,5,0,,
Steffanie,5,0,,
Niyati,5,0,,
Nursen,5,0,,
Thị Hồng Hạnh,5,0,,
Tanuja,5,0,,
Drahomira,5,0,,"<a href=""https://pl.wikipedia.org/wiki/Wac%C5%82aw_I_%C5%9Awi%C4%99ty"" target=""_blank"" rel=""noopener noreferrer"">Wacław I Święty</a><a href=""https://pl.wikipedia.org/wiki/Boles%C5%82aw_I_Srogi"" target=""_blank"" rel=""noopener noreferrer"">Bolesław I Okrutny</a>Spitygniew4 córki (jedną z nich mogła być <a href=""https://pl.wikipedia.org/wiki/Strze%C5%BCys%C5%82awa_(zm._987)"" target=""_blank"" rel=""noopener noreferrer"">Strzeżysława</a>)"
Nano,5,0,,"<b>Nano</b> (<b>n</b>) (<a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_grecki"" target=""_blank"" rel=""noopener noreferrer"">gr</a>. νάνος, <i>nanos</i> – „karzeł”) – <a href=""https://pl.wikipedia.org/wiki/Przedrostek_SI"" target=""_blank"" rel=""noopener noreferrer"">przedrostek jednostki miary</a> oznaczający mnożnik 0,000&#160;000&#160;001 = 10 (jedna miliardowa)."
Áine,3,2,,
Maria-Teresa,3,2,,
Atinuke,3,2,,
Aleksandrowna,0,5,,
Kathe,5,0,,
Aye,5,0,,Zobacz też:
Ngo,5,0,,"<b>Ngo</b> – <a href=""https://pl.wikipedia.org/wiki/Miasto"" target=""_blank"" rel=""noopener noreferrer"">miasto</a> we wschodnim <a href=""https://pl.wikipedia.org/wiki/Kongo"" target=""_blank"" rel=""noopener noreferrer"">Kongu</a>, w departamencie <a href=""https://pl.wikipedia.org/wiki/Plateaux_(departament_w_Kongu)"" target=""_blank"" rel=""noopener noreferrer"">Plateaux</a>. Według danych na rok 2007 liczyło 10 121 mieszkańców."
Unurjargal,5,0,,
Silvi,5,0,,"<b>Silvi</b> – miejscowość i gmina we <a href=""https://pl.wikipedia.org/wiki/W%C5%82ochy"" target=""_blank"" rel=""noopener noreferrer"">Włoszech</a>, w regionie <a href=""https://pl.wikipedia.org/wiki/Abruzja"" target=""_blank"" rel=""noopener noreferrer"">Abruzja</a>, w prowincji <a href=""https://pl.wikipedia.org/wiki/Prowincja_Teramo"" target=""_blank"" rel=""noopener noreferrer"">Teramo</a>."
Tatyna,5,0,,
Xinling,5,0,,
İlkay,5,0,,
Irida,5,0,,
Thị Thanh Thúy,5,0,,
Rosalinde,5,0,,
Sebahat,2,3,,
Yaoyao,5,0,,
Maria Róża,0,5,,
Olga Lucia,5,0,,
Xiaodan,5,0,,
Srbuhi,5,0,,
Delight,5,0,,"<a href=""https://pl.wikipedia.org/wiki/Metal_Mind_Productions"" target=""_blank"" rel=""noopener noreferrer"">Metal Mind Productions</a>, <a href=""https://pl.wikipedia.org/wiki/Roadrunner_Records"" target=""_blank"" rel=""noopener noreferrer"">Roadrunner Records</a>"
Benazir,5,0,,
I Gusti Ayu,5,0,,
Phikria,5,0,,
Jeane,2,3,,
Mohammed A,0,5,,
Rizki,0,5,,
Reinhilde,5,0,,
Bhagawati,5,0,,"<b>Bhagawati</b> (<a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_nepalski"" target=""_blank"" rel=""noopener noreferrer"">nep.</a> भगवती) – <a href=""https://pl.wikipedia.org/wiki/Gaun_wikas_samiti"" target=""_blank"" rel=""noopener noreferrer"">gaun wikas samiti</a> w <a href=""https://pl.wikipedia.org/wiki/Pa%C5%9B%C4%87ima%C5%84%C4%87al_Wikas_Kszetr"" target=""_blank"" rel=""noopener noreferrer"">zachodniej</a> części <a href=""https://pl.wikipedia.org/wiki/Nepal"" target=""_blank"" rel=""noopener noreferrer"">Nepalu</a> w strefie <a href=""https://pl.wikipedia.org/wiki/Lumbini_(strefa)"" target=""_blank"" rel=""noopener noreferrer"">Lumbini</a> w dystrykcie <a href=""https://pl.wikipedia.org/wiki/Arghakhanchi_(dystrykt)"" target=""_blank"" rel=""noopener noreferrer"">Arghakhanchi</a>. Według nepalskiego spisu powszechnego z 2011 roku liczył on 962 gospodarstwa domowe i 3858 mieszkańców (2238 kobiet i 1620 mężczyzn)."
Hélèna,5,0,,
Ameneh,5,0,,
Sofy,3,2,,
Luisa Maria,5,0,,
Manu,5,0,,"<b>Manu</b> (<a href=""https://pl.wikipedia.org/wiki/Sanskryt"" target=""_blank"" rel=""noopener noreferrer"">sanskryt</a> मनु, <a href=""https://pl.wikipedia.org/wiki/Trl."" target=""_blank"" rel=""noopener noreferrer"">trl.</a> manu) – praojciec ludzkości i prawodawca w <a href=""https://pl.wikipedia.org/wiki/Hinduizm"" target=""_blank"" rel=""noopener noreferrer"">hinduizmie</a>. Manu żyje przez okres jednej <a href=""https://pl.wikipedia.org/wiki/Manwantara"" target=""_blank"" rel=""noopener noreferrer"">manwantary</a>. W czasie jednego dnia <a href=""https://pl.wikipedia.org/wiki/Brahma"" target=""_blank"" rel=""noopener noreferrer"">Brahmy</a> (jednej <a href=""https://pl.wikipedia.org/wiki/Kalpa"" target=""_blank"" rel=""noopener noreferrer"">kalpy</a>) pojawia się 14 kolejnych <i>Manu</i>. Manu stoi na straży prawidłowego funkcjonowania <a href=""https://pl.wikipedia.org/wiki/Wszech%C5%9Bwiat"" target=""_blank"" rel=""noopener noreferrer"">wszechświata</a> poprzez określanie obowiązujących w nim <a href=""https://pl.wikipedia.org/wiki/Prawo"" target=""_blank"" rel=""noopener noreferrer"">praw</a>."
Arevhat,5,0,,
Kulsum,5,0,,
Nawar,3,2,,"<b>Kamień kotłowy</b> – <a href=""https://pl.wikipedia.org/wiki/Osad_(chemia)"" target=""_blank"" rel=""noopener noreferrer"">osad</a> składający się głównie z <a href=""https://pl.wikipedia.org/wiki/W%C4%99glan_wapnia"" target=""_blank"" rel=""noopener noreferrer"">węglanów wapnia</a> (CaCO3) i <a href=""https://pl.wikipedia.org/wiki/W%C4%99glan_magnezu"" target=""_blank"" rel=""noopener noreferrer"">magnezu</a> (MgCO3), powstający w wyniku termicznego rozkładu <a href=""https://pl.wikipedia.org/wiki/Wodorow%C4%99glan_wapnia"" target=""_blank"" rel=""noopener noreferrer"">wodorowęglanów wapnia</a> (Ca(HCO3)2) i magnezu (Mg(HCO3)2), zawartych w <a href=""https://pl.wikipedia.org/wiki/Woda"" target=""_blank"" rel=""noopener noreferrer"">wodzie</a>, zwłaszcza <a href=""https://pl.wikipedia.org/wiki/Twardo%C5%9B%C4%87_wody"" target=""_blank"" rel=""noopener noreferrer"">twardej</a>. Inne ważniejsze składniki to <a href=""https://pl.wikipedia.org/wiki/Siarczan_wapnia"" target=""_blank"" rel=""noopener noreferrer"">siarczan wapnia</a> (CaSO4), <a href=""https://pl.wikipedia.org/wiki/Wodorotlenek_%C5%BCelaza(III)"" target=""_blank"" rel=""noopener noreferrer"">wodorotlenek żelaza(III)</a> (Fe(OH)3) i <a href=""https://pl.wikipedia.org/wiki/Ditlenek_krzemu"" target=""_blank"" rel=""noopener noreferrer"">krzemionka</a> (SiO2)."
Ameena,5,0,,
Surekha,5,0,,
Bhumi,5,0,,"<b>Bhūmi</b> (<a href=""https://pl.wikipedia.org/wiki/Sanskryt"" target=""_blank"" rel=""noopener noreferrer"">skt.</a> <i>bhūmi</i>, <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_tybeta%C5%84ski"" target=""_blank"" rel=""noopener noreferrer"">tyb.</a> <i>byang chub sems dpa'i sa</i>, poziomy oświeconej istoty) – w tradycji <a href=""https://pl.wikipedia.org/wiki/Mahajana"" target=""_blank"" rel=""noopener noreferrer"">mahajany</a> oznacza dziesięć poziomów <a href=""https://pl.wikipedia.org/wiki/Bodhisattwa"" target=""_blank"" rel=""noopener noreferrer"">Bodhisattwy</a> na ścieżce przebudzenia. Sanskrycki termin bhūmi oznacza dosłownie ""podstawę"". Każdy poziom oznacza etap urzeczywistnienia i służy jako podstawa dla następnego poziomu. Każdy poziom oznacza określony postęp w treningu i towarzyszy mu konsekwentny wzrost mocy i mądrości."
Hanni,5,0,,
Fizza,5,0,,
Dawa,5,0,,"<b>Dawa</b> – rzeka we wschodniej <a href=""https://pl.wikipedia.org/wiki/Afryka"" target=""_blank"" rel=""noopener noreferrer"">Afryce</a> płynąca przez południową <a href=""https://pl.wikipedia.org/wiki/Etiopia"" target=""_blank"" rel=""noopener noreferrer"">Etiopię</a>. Swoje źródła bierze na wschodnich zboczach Gór Sidamo, w pobliżu miasta <a href=""https://pl.wikipedia.org/wiki/Aleta_Wendo"" target=""_blank"" rel=""noopener noreferrer"">Aleta Wendo</a>. Przepływa przez region <a href=""https://pl.wikipedia.org/wiki/Somali"" target=""_blank"" rel=""noopener noreferrer"">Somali</a>, częściowo określa granicę między Etiopią i <a href=""https://pl.wikipedia.org/wiki/Kenia"" target=""_blank"" rel=""noopener noreferrer"">Kenią</a>, a na granicy z <a href=""https://pl.wikipedia.org/wiki/Somalia"" target=""_blank"" rel=""noopener noreferrer"">Somalią</a> łączy się z rzeką Ganale, ustanawiając rzekę <a href=""https://pl.wikipedia.org/wiki/D%C5%BCuba_(rzeka)"" target=""_blank"" rel=""noopener noreferrer"">Dżuba</a>. Rzeka jest znana ze złożonego środowiska geologicznego, widocznego w zróżnicowanej litologii i strukturze, co wynika z bliskiego sąsiedztwa licznych wydarzeń wulkaniczno-tektonicznych."
Shae,3,2,,"<b>Sheldon Haley</b> (ur. <a href=""https://pl.wikipedia.org/wiki/18_grudnia"" target=""_blank"" rel=""noopener noreferrer"">18 grudnia</a> <a href=""https://pl.wikipedia.org/wiki/1972"" target=""_blank"" rel=""noopener noreferrer"">1972</a>), znany lepiej jako <b>Shae</b> lub <b>Shay</b>, jest <a href=""https://pl.wikipedia.org/wiki/Afroamerykanin"" target=""_blank"" rel=""noopener noreferrer"">afroamerykańskim</a> <a href=""https://pl.wikipedia.org/wiki/Perkusista"" target=""_blank"" rel=""noopener noreferrer"">perkusistą</a> będącym członkiem zespołu <a href=""https://pl.wikipedia.org/wiki/N.E.R.D"" target=""_blank"" rel=""noopener noreferrer"">N.E.R.D</a>. Twierdzi, iż zespół <a href=""https://pl.wikipedia.org/wiki/The_Beatles"" target=""_blank"" rel=""noopener noreferrer"">the Beatles</a> odegrał bardzo ważną rolę w jego twórczości."
Şükri̇ye,5,0,,
Gulistan,5,0,,
Szymon,5,0,,"<b>Szymon</b> (<a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_hebrajski"" target=""_blank"" rel=""noopener noreferrer"">hebr.</a> <i><b>שמעון</b></i> <i>Szim’on</i>, lub <i><b>שִׁמְעוֹן</b></i> <i>Szime’on</i>, „<a href=""https://pl.wikipedia.org/wiki/Jahwe"" target=""_blank"" rel=""noopener noreferrer"">Jahwe</a> wysłuchał”) – <a href=""https://pl.wikipedia.org/wiki/Imi%C4%99"" target=""_blank"" rel=""noopener noreferrer"">imię</a> męskie pochodzenia <a href=""https://pl.wikipedia.org/wiki/J%C4%99zyk_hebrajski"" target=""_blank"" rel=""noopener noreferrer"">hebrajskiego</a>, biblijnego. Początkowo stosowana w polskich przekładach Biblii forma tego imienia <b>Symeon</b> to rzadziej dziś używana forma, bardziej rozpowszechniona na Wschodzie. Niektórzy autorzy uznają imię za greckie, widząc w nim bądź tylko zhellenizowaną formę semickiego Szimeon, bądź rzeczywiste imię pochodzenia greckiego. W <a href=""https://pl.wikipedia.org/wiki/Hagiografia"" target=""_blank"" rel=""noopener noreferrer"">hagiografii</a> istnieje podział na świętych o imieniu <b>Szymon</b> i <b>Symeon</b> będącego oboczną formą pierwszego imienia."
Khawla,5,0,,
Yixiao,5,0,,
Liridona,5,0,,
Tasmin,3,2,,
Huöng,2,3,,
Ahin,5,0,,Zobacz też:
Annia,3,2,,
Ramchandra,0,5,,
Lilybeth,5,0,,
Tecla,2,3,,
Elisangela,5,0,,
Marie-Madeleine,5,0,,
Mzekala,5,0,,
Mukta,5,0,,
Akilina,3,2,,
Kourtney,5,0,,
Ipsita,5,0,,
Przemiła,2,3,,
Iwett,3,2,,
Fatimata,3,2,,
Jeanie,5,0,,
Eun Kyung,5,0,,
Ngoc Bich,5,0,,
Masumi,5,0,,
Maimouna,5,0,,
Tunde,2,3,,
Kit,5,0,,"<b>Kit</b> - masa plastyczna, stosowana do wypełniania szpar, szczelin, otworów, uszczelniania połączeń lub łączenia elementów."
Sherryl,5,0,,
Inkeri,0,5,,
Vasilievna,0,5,,
Masa,5,0,,
Thị Châu,5,0,,
Ömür,5,0,,
Gray,0,5,,<b>biografie:</b>
Jiaxuan,5,0,,
Berrak,5,0,,
Admira,3,2,,"<b>Admira 8 F</b> i <b>8 G</b> – <a href=""https://pl.wikipedia.org/wiki/Kamera_filmowa"" target=""_blank"" rel=""noopener noreferrer"">kamery filmowe</a> 2 x 8 mm produkcji <a href=""https://pl.wikipedia.org/wiki/Czechos%C5%82owacja"" target=""_blank"" rel=""noopener noreferrer"">Czechosłowackiego</a> przedsiębiorstwa Meopta wytwarzane w latach 1960-1964."
Jantje,5,0,,
Dmitrievna,0,5,,
Ranit,5,0,,
Smaragda,5,0,,
Anjaly,5,0,,
Alyna,5,0,,
Mukhayyo,5,0,,
Aliftina,5,0,,
Altansuvd,5,0,,
Alysia,5,0,,
Lubava,5,0,,
Maybelle,5,0,,
Thi Minh Thu,5,0,,
Mariia-Oleksandra,5,0,,
Lamya,5,0,,
Gamar,5,0,,
Maritsa,3,2,,
Leoniia,5,0,,
Zhanagul,5,0,,
Callista,2,3,,
Wanda Janina,0,5,,
Preetha,5,0,,
Aleina,5,0,,
Aicholpon,5,0,,
Ognyanova,0,5,,
Della,5,0,,
Euzebiusza,2,3,,
Nishita,5,0,,
Lan Phuong,5,0,,
Yun-Ting,5,0,,
Militina,5,0,,
Zulfija,5,0,,"<b>Zulfiya Israilova</b>, znana pod pseudonimem literackim <i>Zulfiya</i> (ur. <a href=""https://pl.wikipedia.org/wiki/14_marca"" target=""_blank"" rel=""noopener noreferrer"">14 marca</a> <a href=""https://pl.wikipedia.org/wiki/1915"" target=""_blank"" rel=""noopener noreferrer"">1915</a> w <a href=""https://pl.wikipedia.org/wiki/Taszkent"" target=""_blank"" rel=""noopener noreferrer"">Taszkencie</a>, zm. <a href=""https://pl.wikipedia.org/wiki/1_sierpnia"" target=""_blank"" rel=""noopener noreferrer"">1 sierpnia</a> <a href=""https://pl.wikipedia.org/wiki/1996"" target=""_blank"" rel=""noopener noreferrer"">1996</a> tamże) – <a href=""https://pl.wikipedia.org/wiki/Uzbekistan"" target=""_blank"" rel=""noopener noreferrer"">uzbecka</a> poetka."
Rasina,5,0,,
Letishia,3,2,,
Fae,0,5,,
Kineret,5,0,,"<b>Anakinra</b> – <a href=""https://pl.wikipedia.org/wiki/Leki_immunosupresyjne"" target=""_blank"" rel=""noopener noreferrer"">lek immunosupresyjny</a> będący antagonistą ludzkich <a href=""https://pl.wikipedia.org/wiki/Receptor"" target=""_blank"" rel=""noopener noreferrer"">receptorów</a> <a href=""https://pl.wikipedia.org/wiki/Interleukina_1"" target=""_blank"" rel=""noopener noreferrer"">IL-1</a>. Jest otrzymywany na drodze <a href=""https://pl.wikipedia.org/wiki/Rekombinacja_genetyczna"" target=""_blank"" rel=""noopener noreferrer"">rekombinacji</a> przy udziale bakterii <i><a href=""https://pl.wikipedia.org/wiki/Pa%C5%82eczka_okr%C4%99%C5%BCnicy"" target=""_blank"" rel=""noopener noreferrer"">Escherichia coli</a></i>."
Ganit,5,0,,
Aureliya,5,0,,
Roksolana-Mariia,5,0,,
Laylah,5,0,,
Mirel,5,0,,
Raziyat,5,0,,
Rosales,0,5,,Osoby o tym nazwisku:
Caron,2,3,,
Lizawieta,5,0,,
Lusy,5,0,,
Januara,2,3,,
Veroniki,5,0,,
Dobrinka,5,0,,
Ainaz,5,0,,
Ludomiera,2,3,,
